Division,StationId,StationName,ServiceUnits
1,11,ส.ทล.1 กก.1 บก.ทล.,วังน้อย;รังสิต;เอเซีย;บางปะอิน;นพวงศ์;ราชพฤกษ์;ฝอ.กก.1
1,12,ส.ทล.2 กก.1 บก.ทล.,พหลโยธิน เขต 1;พหลโยธิน เขต 2;เฉลิมพระเกียรติ;ทับกวาง;มิตรภาพ;บ้านนา;บางอ้อ;ฝอ.กก.1
1,13,ส.ทล.3 กก.1 บก.ทล.,เมืองลพบุรี;โคกสำโรง;ชัยบาดาล;พัฒนานิคม;ฝอ.กก.1
1,14,ส.ทล.4 กก.1 บก.ทล.,เขาหน่อ;ราชรถ (เก้าเลี้ยว);ท่าน้ำอ้อย;ท่าตะโก;หนองบัว;อุทัยธานี;ฝอ.กก.1
1,15,ส.ทล.5 กก.1 บก.ทล.,ศรีเทพ;ราหุล;หล่มสัก;เขาทราย;วชิรบารมี;ฝอ.กก.1
1,16,ส.ทล.6 กก.1 บก.ทล.,อ่างทอง;อินทร์บุรี;สรรคบุรี;ชัยนาท;ฝอ.กก.1
2,21,ส.ทล.1 กก.2 บก.ทล.,สมุทรสงคราม;มหาชัย;ศรีสำราญ;สาย 4;ท่าตำหนัก;หนองดินแดง;ทัพหลวง;กำแพงแสน;บางเลน;ดอนยายหอม;บางโทรัด;ฝอ.กก.2
2,22,ส.ทล.2 กก.2 บก.ทล.,บ้านโป่ง;โพธาราม;วังมะนาว;เขตตรวจที่ 4;ชะอำ;ฝอ.กก.2
2,23,ส.ทล.3 กก.2 บก.ทล.,หัวหิน;ห้วยมงคล;กุยบุรี;เกาะหลัก;ทับสะเเก;บางสะพาน;ไชยราช;ฝอ.กก.2
2,24,ส.ทล.4 กก.2 บก.ทล.,ท่าแซะ;หลังสวน;ทับหลี;ระนอง;ฝอ.กก.2
2,25,ส.ทล.5 กก.2 บก.ทล.,ไชยา;เวียงสระ;กาญจนดิษฐ์;ท่าโรงช้าง;ฝอ.กก.2
2,26,ส.ทล.6 กก.2 บก.ทล.,ท่ามะกา;ไทรโยค;พระแท่น;อู่ทอง;สาลี;ศรีประจันต์;ด่านช้าง;ฝอ.กก.2
3,31,ส.ทล.1 กก.3 บก.ทล.,บางพลี;บางปู;เขตตรวจที่ 3 (บางปะกง);แปลงยาว;บางคล้า;สุวินทวงศ์;พระประแดง;ฝอ.กก.3
3,32,ส.ทล.2 กก.3 บก.ทล.,สัตหีบ;เขาคันทรง;หนองใหญ่;เขตตรวจที่ 6 (พนัสนิคม);ฝอ.กก.3
3,33,ส.ทล.3 กก.3 บก.ทล.,มาบข่า;วังจันทร์;ฝอ.กก.3
3,34,ส.ทล.4 กก.3 บก.ทล.,นายายอาม;โป่งน้ำร้อน;ขลุง;ฝอ.กก.3
3,35,ส.ทล.5 กก.3 บก.ทล.,กบินบุรี;สระแก้ว;ศรีมหาโพธิ;นาดี;วังทอง;ฝอ.กก.3
4,41,ส.ทล.1 กก.4 บก.ทล.,โพนทอง;รอบเมือง;สุวรรณภูมิ;พยัคฆภูมิพิสัย;บรบือ;ยางตลาด;สมเด็จ;ฝอ.กก.4
4,42,ส.ทล.2 กก.4 บก.ทล.,พล;บ้านไผ่;น้ำพอง;หนองเรือ;ชุมแพ;รอบเมือง;ฝอ.กก.4
